station,t,rho_km,rho_dot_km_s,elev_rad
Station 2,80340.0,6359.123077220825,2.7705764528743186,0.23260089794859307
Station 2,80350.0,6386.909252248512,2.78660854397303,0.22711194972092555
Station 2,80360.0,6414.854251828709,2.8023418640960247,0.2216270404764551
Station 2,80370.0,6442.955103364148,2.8177794265420113,0.21614667978224225
Station 2,80380.0,6471.208864429431,2.8329242537324024,0.21067135427490727
Station 2,80390.0,6499.612622713658,2.8477793747116396,0.20520152834221536
Station 2,80400.0,6528.163496312873,2.862347822497,0.19973764484724768
Station 2,80410.0,6556.858633675428,2.8766326317688193,0.19428012579578757
Station 2,80420.0,6585.695213589328,2.890636836639065,0.1888293729993265
Station 2,80430.0,6614.670445168145,2.9043634685189876,0.18338576872804307
Station 2,80440.0,6643.781567815672,2.9178155540971464,0.1779496763505394
Station 1,83180.0,6657.531512649271,-2.812691128564727,0.1781825918022168
Station 1,83190.0,6629.464470255833,-2.8006738978744616,0.1834361440489159
Station 1,83200.0,6601.518909510506,-2.788394299706926,0.1886975390788947
Station 1,83210.0,6573.697468844627,-2.77584937833352,0.19396643543009404
Station 1,83220.0,6546.002816293123,-2.7630361696199754,0.1992424743506283
Station 1,83230.0,6518.43764957248,-2.749951702731983,0.20452527921780334
Station 1,83240.0,6491.004696141694,-2.7365930019375604,0.20981445494496423
Station 1,83250.0,6463.706713245247,-2.7229570885091507,0.21510958737640906
Station 1,83260.0,6436.546487937147,-2.7090409827283075,0.22041024267066675
Station 1,83270.0,6409.526837085031,-2.6948417059960095,0.2257159666724667
Station 1,83280.0,6382.650607353274,-2.680356283051389,0.23102628427381458
Station 1,83290.0,6355.920675041358,-2.6655817443364564,0.23634069875117789
Station 1,83300.0,6329.339946029955,-2.650515128426352,0.24165869110835358
Station 1,83310.0,6302.911355866971,-2.6351534845423448,0.24697971942650954
Station 1,83320.0,6276.637869536446,-2.619493875267839,0.25230321817355966
Station 1,83330.0,6250.522481313045,-2.6035333793480318,0.25762859751869255
Station 1,83340.0,6224.56821458788,-2.587269094613486,0.26295524263981324
Station 1,83350.0,6198.778121664114,-2.570698141029805,0.268282513024811
Station 1,83360.0,6173.155283521117,-2.5538176638753716,0.2736097417676923
Station 1,83370.0,6147.702809545892,-2.536624837048879,0.2789362348607343
Station 1,83380.0,6122.423837230473,-2.5191168665082033,0.28426127048390676
Station 1,83390.0,6097.321531834023,-2.5012909938419234,0.2895840982929425
Station 1,83400.0,6072.399086008308,-2.4831444999745362,0.2949039387075405
Station 1,83410.0,6047.659719385242,-2.464674709006165,0.3002199822013234
Station 1,83420.0,6023.106678125166,-2.4458789921872164,0.30553138859529605
Station 1,83430.0,5998.743234424567,-2.4267547720281533,0.310837286356694
Station 1,83440.0,5974.572685981893,-2.4072995265441786,0.3161367719052478
Station 1,83450.0,5950.598355420154,-2.387510793634256,0.32142890892904324
Station 1,83460.0,5926.823589665017,-2.367386175593473,0.32671272771230914
Station 1,83470.0,5903.251759277077,-2.3469233437573536,0.33198722447761647
Station 1,83480.0,5879.8862577370655,-2.3261200432762164,0.33725136074515155
Station 1,83490.0,5856.730500682699,-2.304974098017235,0.34250406271187106
Station 1,83500.0,5833.78792509596,-2.283483415591321,0.34774422065353566
Station 1,83510.0,5811.0619884396565,-2.2616459925014087,0.3529706883527896
